month,client,revenue,ebit,fte,ticket,sla_scope,sla_attain
2017-Apr-01 00:00:00,3M,34022.00962,1026.275641,25,2272,6,6
2017-Apr-01 00:00:00,ABDI,-16324.50321,-11997.71795,2,177,52,52
2017-Apr-01 00:00:00,Adasa,5995.698718,1667.064103,2,364,9,9
2017-Apr-01 00:00:00,Aernnova,2615.826923,678.1442308,1,212,4,4
2017-Apr-01 00:00:00,AGCO,27147.12821,-7391.596154,15,2697,10,4
2017-Apr-01 00:00:00,Alcoa - LATAM,27997.3109,-1548.057692,19,6632,4,3
2017-Apr-01 00:00:00,AMBEV,-3175.762821,-28938.28846,14,1666,6,5
2017-Apr-01 00:00:00,Astrazeneca,38834.33974,-396.0032051,19,3689,12,12
2017-Apr-01 00:00:00,Banco Fibra,70402.24359,3947.891026,15,1000,0,0
2017-Apr-01 00:00:00,Banco Pan,49621.50321,7426.778846,22,5421,7,7
2017-Apr-01 00:00:00,BG Group,25934.53205,887.7275641,5,600,1,1
2017-Apr-01 00:00:00,BH AIRPORT,19182.12821,4175.599359,9,1515,4,4
2017-Apr-01 00:00:00,BNB,196429.2083,-10309.67949,164,34282,396,396
2017-Apr-01 00:00:00,BNB - SUPORTE ESPECIALIZADO,111617.9904,751.9807692,20,522,3,3
2017-Apr-01 00:00:00,BRF,63177.19551,33259.3141,0,0,0,0
2017-Apr-01 00:00:00,BTG Pactual,24701.76923,-64045.87821,18,4500,8,8
2017-Apr-01 00:00:00,Burger King,4942.25641,-66798.47436,24,1000,1,0
2017-Apr-01 00:00:00,Caixa,341432.9615,72761.13782,130,5049,16,16
2017-Apr-01 00:00:00,CNH - LATAM,313161.0032,160028.9167,58,7308,8,7
2017-Apr-01 00:00:00,CNI,34066.78846,7419.596154,6,402,21,21
2017-Apr-01 00:00:00,COMPESA,55565.69231,-91180.64744,0,0,0,0
2017-Apr-01 00:00:00,CPFL,135382.6538,34415.88462,74,7743,6,6
2017-Apr-01 00:00:00,DETRAN-CE,0,-50335.98718,32,1700,10,10
2017-Apr-01 00:00:00,DIRECIONAL,16844.63782,1278.057692,6,2160,6,5
2017-Apr-01 00:00:00,Elebat,69834.55449,47512.78205,0,0,0,0
2017-Apr-01 00:00:00,Embraer (CA-Support) - LATAM,23476.21474,7737.217949,4,289,14,14
2017-Apr-01 00:00:00,Embraer (Datacenter) - LATAM,55248.39744,-3353.932692,11,620,10,10
2017-Apr-01 00:00:00,Embraer (Gest?o de Ativos) - LATAM,21276.04808,-9429.50641,16,895,15,15
2017-Apr-01 00:00:00,Embraer (PC as a Service) - LATAM,574172.5577,30952.65385,36,1401,15,9
2017-Apr-01 00:00:00,Embraer (Portais) - LATAM,-20353.50962,-22918.70513,5,311,12,12
2017-Apr-01 00:00:00,Embraer (Projetotres) - LATAM,2608.769231,-72.20512821,3,231,8,8
2017-Apr-01 00:00:00,Emprel,75311.91667,15066.36538,24,1632,4,4
2017-Apr-01 00:00:00,FGV,59739.63782,8824.455128,26,4862,10,10
2017-Apr-01 00:00:00,Fiat,191706.4808,36932.20192,149,10979,8,7
2017-Apr-01 00:00:00,FIES,20400.87179,7821.602564,7,344,5,4
2017-Apr-01 00:00:00,FORD,22088.27564,53415.67949,9,914,4,4
2017-Apr-01 00:00:00,FUNASA,274695.5897,192805.0192,72,11965,11,10
2017-Apr-01 00:00:00,Gerdau,176058.4199,54862.34295,35,13915,31,27
2017-Apr-01 00:00:00,Globosat,12757.22756,-530.5,5,45,2,2
2017-Apr-01 00:00:00,GoodYear,173287.4551,25632.04808,52,2792,30,29
2017-Apr-01 00:00:00,HCL Brasil,23473.45833,8923.830128,10,498,5,5
2017-Apr-01 00:00:00,IBM SP - Fleury,-3906.455128,-45391.36538,37,680,4,4
2017-Apr-01 00:00:00,IBRAM,37365.67949,-19750.29167,16,1264,26,25
2017-Apr-01 00:00:00,Incra,174193.0801,87187.11859,17,562,27,26
2017-Apr-01 00:00:00,Intercement,41594.15064,17608.81731,8,1607,6,6
2017-Apr-01 00:00:00,Intermedica,77750.01603,-200.9519231,27,11000,50,50
2017-Apr-01 00:00:00,Kuehne Nagel,29061.04167,7660.560897,10,1167,5,5
2017-Apr-01 00:00:00,Linde - LATAM,24368.82692,122.2660256,12,1560,5,4
2017-Apr-01 00:00:00,M.T.E,-510.7403846,-33026.94872,12,882,18,18
2017-Apr-01 00:00:00,Magneti Marelli,68116.82051,9916.50641,24,710,5,4
2017-Apr-01 00:00:00,MAPA,0,-37592.33013,28,6612,13,13
2017-Apr-01 00:00:00,MMA,20064.21795,-12564.79808,16,1500,50,50
2017-Apr-01 00:00:00,Mongeral,29262.22115,6499.673077,8,4200,0,0
2017-Apr-01 00:00:00,MRS,51800.80449,4756.391026,19,747,6,2
2017-Apr-01 00:00:00,Multiplus,18373.9359,-3418.573718,7,662,5,4
2017-Apr-01 00:00:00,Neoenergia,18071.3141,-45565.46795,45,10600,51,51
2017-Apr-01 00:00:00,Nestle,203102.3942,56668.5641,43,4500,85,85
2017-Apr-01 00:00:00,Nidera,9480.535256,-1745.830128,1,2178,3,3
2017-Apr-01 00:00:00,Novelis - LATAM,-12752.53205,-16269.11859,16,960,6,6
2017-Apr-01 00:00:00,NOVO NORDISK,0,-3424.336538,4,330,5,5
2017-Apr-01 00:00:00,Odontoprev,20621.85897,2769.573718,10,3800,7,7
2017-Apr-01 00:00:00,Par Corretora,35383.54167,19108.71795,0,0,0,0
2017-Apr-01 00:00:00,Paranapanema,14812.67949,5090.660256,7,1448,11,11
2017-Apr-01 00:00:00,Phillip Morris,9133.413462,-2124.157051,14,831,4,4
2017-Apr-01 00:00:00,Porto Seguro,129316.1474,-33224.19551,79,26000,23,20
2017-Apr-01 00:00:00,PPG,8410.163462,419.6153846,5,735,0,0
2017-Apr-01 00:00:00,RA IMC ,38971.66667,15355.66667,24,2586,9,9
2017-Apr-01 00:00:00,REXAM-SD E FIELD NAC,65813.26603,53467.19231,0,0,0,0
2017-Apr-01 00:00:00,RumoAll,657.9839744,-17560.96474,11,600,0,0
2017-Apr-01 00:00:00,Samarco,52284.22115,-8442.403846,7,255,12,12
2017-Apr-01 00:00:00,SEBRAE MG,66692.76282,23378.78205,5,1580,16,16
2017-Apr-01 00:00:00,Sebrae Nacional,60788.86859,6451.301282,17,2903,1,1
2017-Apr-01 00:00:00,SEE-SD ATENDIMENTO,0,-75799.15705,17,6743,12,12
2017-Apr-01 00:00:00,SEJUS,28887.01923,19199.5641,9,1928,4,4
2017-Apr-01 00:00:00,SERPRODF,49482.47756,-23889.69231,76,33018,6,4
2017-Apr-01 00:00:00,SFB,0,-886.0833333,2,177,5,5
2017-Apr-01 00:00:00,Sicredi,10487.52244,3482.567308,4,1120,3,3
2017-Apr-01 00:00:00,Software One,34715.28205,5260.878205,9,72,0,0
2017-Apr-01 00:00:00,Souza Cruz,58022.90385,2890.471154,25,1300,5,5
2017-Apr-01 00:00:00,TE/Tyco,10842.57692,3920.945513,5,472,0,0
2017-Apr-01 00:00:00,Terra Networks,-2922.487179,-40889.76282,19,1777,8,8
2017-Apr-01 00:00:00,ThyssenKrupp,42672.28526,10109.375,11,372,2,2
2017-Apr-01 00:00:00,Tigre,25623.23077,-2986.346154,12,4607,10,4
2017-Apr-01 00:00:00,TIM HDC&CCA,425851.1763,-22881.00962,118,68352,4,0
2017-Apr-01 00:00:00,TIM Opera??o,-5240.032051,-41823.24359,179,46835,36,36
2017-Apr-01 00:00:00,TJMG,33829.68269,-106235.5897,77,3306,2,2
2017-Apr-01 00:00:00,TJ-RJ,166294.2308,26418.26923,43,1093,2,2
2017-Apr-01 00:00:00,TJRN,0,-11794.52564,15,665,4,4
2017-Apr-01 00:00:00,TRF - Se??es - Consolidado,210151.5577,-7847.378205,175,13345,84,84
2017-Apr-01 00:00:00,TRF NOC,0,-25492.90705,4,926,5,5
2017-Apr-01 00:00:00,TRT SERVICE DESK(Migrados),21230.92308,-26563.32372,0,0,0,0
2017-Apr-01 00:00:00,TRT SUSTENTA??O,0,29222.92949,4,797,6,6
2017-Apr-01 00:00:00,TST,0,-87880.33013,31,8052,18,18
2017-Apr-01 00:00:00,Unimed/RJ,86387.03846,-3967.689103,56,8400,8,8
2017-Apr-01 00:00:00,UNITEC,29442.52885,5345.012821,4,320,4,3
2017-Apr-01 00:00:00,Valeo,29346.40705,2774.996795,8,1400,8,8
2017-Apr-01 00:00:00,WestRock Rigesa,27750.54167,7572.49359,14,1132,5,5
