month,client,revenue,ebit,fte,ticket,sla_scope,sla_attain
2016-Jan-01 00:00:00,Acosta,150725,17773,0,0,0,0
2016-Jan-01 00:00:00,Alcoa - EMEA,83657.59,-1276.57,20.63,9294,11,10
2016-Jan-01 00:00:00,Alcoa - NA,338904.8,-68717.15,53.7,22560,0,0
2016-Jan-01 00:00:00,Alvarez and Marsal,80911,31023,5,2931,5,5
2016-Jan-01 00:00:00,BCG - EMEA,68875.82,-14177.55,20.43,6245,5,2
2016-Jan-01 00:00:00,BCG - NA,583970,93227,48,19423,5,5
2016-Jan-01 00:00:00,Bio-Rad - EMEA,71250.43,1168.49,23.29,14520,3,3
2016-Jan-01 00:00:00,Brown-Forman,65903,12511,8,2398,10,10
2016-Jan-01 00:00:00,CEC,192730,20908,38,17184,4,4
2016-Jan-01 00:00:00,Clariant - EMEA,195772.25,44069.59,14.8,8878,3,3
2016-Jan-01 00:00:00,CLS,88537.65,16023.8,4.48,2165,4,4
2016-Jan-01 00:00:00,CNH,264323,36975,8,3710,12,12
2016-Jan-01 00:00:00,Coca Cola,342350.47,37778.54,44.36,15530,5,4
2016-Jan-01 00:00:00,Covance - EMEA,90117.85,20362.84,8.13,4252,4,4
2016-Jan-01 00:00:00,Covance - NA,360918.31,121683.01,30,13022,0,0
2016-Jan-01 00:00:00,Duke,34629,5859,1,261,0,0
2016-Jan-01 00:00:00,E&Y - NA,904860.88,154500.33,168.95,61448,0,0
2016-Jan-01 00:00:00,Embraer,70484,-3999,9,1827,7,6
2016-Jan-01 00:00:00,Epsilon,439740,47091,29,10153,5,3
2016-Jan-01 00:00:00,Essilor - NA,52261,10722,7,1800,4,4
2016-Jan-01 00:00:00,Ferro,72867,9939,3.2,789,7,7
2016-Jan-01 00:00:00,Firmenich,299314.5,39032.16,17.19,8355,3,3
2016-Jan-01 00:00:00,Honda,50400,11864,8,5662,5,3
2016-Jan-01 00:00:00,Infineum,192445,45230,7,3431,6,6
2016-Jan-01 00:00:00,John Deere - EMEA,110606.47,15774.46,20.59,4173,25,21
2016-Jan-01 00:00:00,John Deere - NA,214580.89,42738.52,44,14085,0,0
2016-Jan-01 00:00:00,Joy,148472,39836,5.5,2579,6,6
2016-Jan-01 00:00:00,Kraft/Heinz - EMEA,177507.67,43364.18,18,10292,7,7
2016-Jan-01 00:00:00,Kraft/Heinz - NA,433212,86947,33.68,14955,7,7
2016-Jan-01 00:00:00,Linde - EMEA,108717.11,2105.83,31.71,21591,10,10
2016-Jan-01 00:00:00,Louis Vuitton,192854,34652,8,4512,7,4
2016-Jan-01 00:00:00,MasterCard,29016,11950,6.5,343,10,10
2016-Jan-01 00:00:00,Merck-Serono,41519.38,13374.48,6.44,939,2,2
2016-Jan-01 00:00:00,Novelis - EMEA,55632,11778.17,5.35,945,5,2
2016-Jan-01 00:00:00,Novelis - NA,80286.27,20813.83,11,2600,0,0
2016-Jan-01 00:00:00,Orbitz,22875.04,-2185.29,7.78,4721,3,3
2016-Jan-01 00:00:00,OSRAM,80867.87,13802.52,20.54,9381,3,2
2016-Jan-01 00:00:00,PMI - EMEA,555115.91,11493.07,38.44,21479,7,2
2016-Jan-01 00:00:00,Route One,91803,9236,14.34,6934,4,4
2016-Jan-01 00:00:00,SAPA - EMEA,92288.92,1391.12,22.15,3090,8,7
2016-Jan-01 00:00:00,Swagelok,129311,24126,8,2545,4,4
2016-Jan-01 00:00:00,TRW - EMEA,177354.47,24074.71,20.69,15326,14,14
2016-Jan-01 00:00:00,TSI,34015,15822,7.5,2246,9,9
2016-Jan-01 00:00:00,Vallourec,26960,-678,3,636,4,4
2016-Jan-01 00:00:00,Visteon,105010,32817,11,9355,3,3
2016-Feb-01 00:00:00,Acosta,133211,-6386,36,15496,10,7
2016-Feb-01 00:00:00,Alcoa - EMEA,84484.62,908.18,20.03,10084,11,11
2016-Feb-01 00:00:00,Alcoa - NA,221408.3,-12154.1,44.7,21711,0,0
2016-Feb-01 00:00:00,Alvarez and Marsal,84796,31232,6,2758,5,5
2016-Feb-01 00:00:00,BCG - EMEA,78349.95,-4917.91,20.27,6879,5,3
2016-Feb-01 00:00:00,BCG - NA,598920,124333,49,19042,4,4
2016-Feb-01 00:00:00,Bio-Rad - EMEA,319569.42,99510.72,23.39,10810,3,3
2016-Feb-01 00:00:00,Brown-Forman,60865,10089,6,2188,10,10
2016-Feb-01 00:00:00,CEC,167427,-49171,38,14520,4,4
2016-Feb-01 00:00:00,Clariant - EMEA,197751.46,39722.56,17.65,8830,3,3
2016-Feb-01 00:00:00,CLS,86524.56,20236.59,3.88,1952,4,4
2016-Feb-01 00:00:00,CNH,264323,34010,7,3809,12,12
2016-Feb-01 00:00:00,Coca Cola,297686.57,-28470.2,43.83,15053,5,3
2016-Feb-01 00:00:00,Covance - EMEA,92350.87,19857.39,8.21,3871,4,4
2016-Feb-01 00:00:00,Covance - NA,344346.9,109249,31,12965,0,0
2016-Feb-01 00:00:00,Duke,34134,7051,1,173,0,0
2016-Feb-01 00:00:00,E&Y - NA,791397.9,110895.66,116.66,58188,0,0
2016-Feb-01 00:00:00,Embraer,99870,17515,8,1842,7,4
2016-Feb-01 00:00:00,Epsilon,423240,36920,29,10081,5,2
2016-Feb-01 00:00:00,Essilor - NA,52277,11505,7,1905,4,4
2016-Feb-01 00:00:00,Ferro,77187,8291,3,917,7,6
2016-Feb-01 00:00:00,Firmenich,301721.22,13467.58,18.96,9562,2,2
2016-Feb-01 00:00:00,Honda,50456,6973,8,4260,5,4
2016-Feb-01 00:00:00,Infineum,193711,36853,7,2825,6,6
2016-Feb-01 00:00:00,John Deere - EMEA,112618.15,20867.66,22.89,4692,24,19
2016-Feb-01 00:00:00,John Deere - NA,214137.61,49212.23,43,14850,0,0
2016-Feb-01 00:00:00,Joy,160741,32039,5,2329,6,6
2016-Feb-01 00:00:00,Kraft/Heinz - EMEA,181533.56,28169.47,19.76,9907,7,7
2016-Feb-01 00:00:00,Kraft/Heinz - NA,504454,60865,24.02,14002,7,7
2016-Feb-01 00:00:00,Linde - EMEA,121920.96,1350.39,30.06,22515,10,10
2016-Feb-01 00:00:00,Louis Vuitton,182643,16374,8,3961,7,5
2016-Feb-01 00:00:00,MasterCard,29010,14080,6,324,10,10
2016-Feb-01 00:00:00,Merck-Serono,42524.77,17263.12,6.68,959,2,2
2016-Feb-01 00:00:00,Novelis - EMEA,48894,6245.87,6.04,1112,9,4
2016-Feb-01 00:00:00,Novelis - NA,79218.9,17049.62,14,6190,0,0
2016-Feb-01 00:00:00,Orbitz,23378.13,1137.16,7.4,4990,3,3
2016-Feb-01 00:00:00,OSRAM,82662.53,9328.27,21.14,8896,4,4
2016-Feb-01 00:00:00,PMI - EMEA,557824.48,-2906.97,38.62,23571,7,2
2016-Feb-01 00:00:00,Route One,86096,2385,14,7442,4,4
2016-Feb-01 00:00:00,SAPA - EMEA,99864.83,11889.68,22.35,3227,8,6
2016-Feb-01 00:00:00,Swagelok,131302,24364,8,2605,4,4
2016-Feb-01 00:00:00,TRW - EMEA,179723.02,-1127.27,20.83,14582,14,14
2016-Feb-01 00:00:00,TSI,32920,15356,7.5,1934,8,8
2016-Feb-01 00:00:00,Vallourec,27248,-434,3,923,4,4
2016-Feb-01 00:00:00,Visteon,107677,38670,10,9862,3,3
2016-Mar-01 00:00:00,Acosta,159612,11131,57,17542,12,10
2016-Mar-01 00:00:00,Alcoa - EMEA,82055.72,-6833.51,20.77,10422,11,10
2016-Mar-01 00:00:00,Alcoa - NA,249930.23,10133.35,36.9,22657,0,0
2016-Mar-01 00:00:00,Alvarez and Marsal,92558,29902,6,3364,5,5
2016-Mar-01 00:00:00,BCG - EMEA,61872.89,-17201.34,22.4,6111,5,3
2016-Mar-01 00:00:00,BCG - NA,589893,79215,46,17896,4,4
2016-Mar-01 00:00:00,Bio-Rad - EMEA,196310.86,33619.2,22.8,11498,3,3
2016-Mar-01 00:00:00,Brown-Forman,65801,4087,8,2435,10,10
2016-Mar-01 00:00:00,CEC,112483,14550,22,15740,3,3
2016-Mar-01 00:00:00,Clariant - EMEA,199795.97,24073.26,20.03,8321,3,3
2016-Mar-01 00:00:00,CLS,87165.49,14886.09,4.74,2216,4,4
2016-Mar-01 00:00:00,CNH,265689,19632,7,3916,12,12
2016-Mar-01 00:00:00,Coca Cola,339420.66,-9616.35,44.88,17238,5,4
2016-Mar-01 00:00:00,Covance - EMEA,91411.12,16891.19,9.27,4153,4,4
2016-Mar-01 00:00:00,Covance - NA,318478.67,78206.36,34,16904,0,0
2016-Mar-01 00:00:00,Duke,30579,3717,1,176,0,0
2016-Mar-01 00:00:00,E&Y - NA,800907.84,60433.5,252,67312,0,0
2016-Mar-01 00:00:00,Embraer,94496,2652,9,2227,7,6
2016-Mar-01 00:00:00,Epsilon,426333,16658,29,9785,5,3
2016-Mar-01 00:00:00,Essilor - NA,52336,4006,5,2050,4,4
2016-Mar-01 00:00:00,Ferro,75777,9877,3,853,7,6
2016-Mar-01 00:00:00,Firmenich,328077.68,46332.13,17.56,9763,3,3
2016-Mar-01 00:00:00,Honda,50406,3886,7,4534,5,2
2016-Mar-01 00:00:00,Infineum,187953,31398,6,2289,6,6
2016-Mar-01 00:00:00,John Deere - EMEA,112394.37,20347.31,22.34,5097,23,21
2016-Mar-01 00:00:00,John Deere - NA,214437.12,9420.1,46,12369,0,0
2016-Mar-01 00:00:00,Joy,149389,19165,5.5,1836,6,6
2016-Mar-01 00:00:00,Kraft/Heinz - EMEA,140926.95,14843.94,32.63,16291,5,5
2016-Mar-01 00:00:00,Kraft/Heinz - NA,567804,109435,49.25,21131,8,8
2016-Mar-01 00:00:00,Linde - EMEA,115159.15,-5426.06,31.14,23038,10,10
2016-Mar-01 00:00:00,Louis Vuitton,181180,4542,7,4012,7,5
2016-Mar-01 00:00:00,MasterCard,28949,9937,6,351,10,10
2016-Mar-01 00:00:00,Merck-Serono,44446.07,17793.93,6.11,1045,2,2
2016-Mar-01 00:00:00,Novelis - EMEA,55632,6755.07,5.73,1044,9,5
2016-Mar-01 00:00:00,Novelis - NA,80005.8,6284.79,9,5993,0,0
2016-Mar-01 00:00:00,Orbitz,23625.81,335.28,7.67,3564,3,3
2016-Mar-01 00:00:00,OSRAM,82813.85,15154.99,21.5,10926,4,4
2016-Mar-01 00:00:00,PMI - EMEA,602610.52,110820.7,37.25,23707,7,4
2016-Mar-01 00:00:00,Route One,103488,14272,14,7917,4,3
2016-Mar-01 00:00:00,SAPA - EMEA,88443.12,-31813.02,22.33,3204,8,8
2016-Mar-01 00:00:00,Swagelok,137976,26217,8,3254,4,4
2016-Mar-01 00:00:00,TRW - EMEA,189618.49,7594.95,18.12,13822,14,14
2016-Mar-01 00:00:00,TSI,33979,12741,7.5,2243,8,8
2016-Mar-01 00:00:00,Vallourec,27536,-1195,2,913,4,4
2016-Mar-01 00:00:00,Visteon,108891,30673,10,10782,3,3
2016-Apr-01 00:00:00,Acosta,158219,18247,44,17509,12,11
2016-Apr-01 00:00:00,Alcoa - EMEA,82120.7,-1088.86,21.85,11030,11,11
2016-Apr-01 00:00:00,Alcoa - NA,244975.91,-15605.39,36.8,21205,0,0
2016-Apr-01 00:00:00,Alvarez and Marsal,86719,22884,6,3364,5,5
2016-Apr-01 00:00:00,BCG - EMEA,73628.32,-1605.11,18.98,6396,5,4
2016-Apr-01 00:00:00,BCG - NA,591609,109993,53,18944,4,4
2016-Apr-01 00:00:00,Bio-Rad - EMEA,185190.97,45020.54,22.9,13027,3,3
2016-Apr-01 00:00:00,Brown-Forman,81210,11723,7,2331,10,10
2016-Apr-01 00:00:00,CEC,113167,33371,38,16536,4,4
2016-Apr-01 00:00:00,Clariant - EMEA,202820.86,38806.66,16.57,8881,3,3
2016-Apr-01 00:00:00,CLS,88094.35,18290.53,5.51,2186,4,4
2016-Apr-01 00:00:00,CNH,264573,41874,7,3547,12,12
2016-Apr-01 00:00:00,Coca Cola,299228.44,-73558.2,52.79,17551,5,4
2016-Apr-01 00:00:00,Covance - EMEA,89476.93,2229.01,8.29,3699,4,4
2016-Apr-01 00:00:00,Covance - NA,320461.34,87245.56,34,14619,0,0
2016-Apr-01 00:00:00,Duke,29058,8049,1,203,0,0
2016-Apr-01 00:00:00,E&Y - NA,668767,-46270.39,257,61467,0,0
2016-Apr-01 00:00:00,Embraer,93913,3314,8,1944,7,5
2016-Apr-01 00:00:00,Epsilon,456461,44149,29,8254,5,3
2016-Apr-01 00:00:00,Essilor - NA,52347,12130,7,2007,4,4
2016-Apr-01 00:00:00,Ferro,75614,7597,5,1141,7,7
2016-Apr-01 00:00:00,Firmenich,296270.83,33414.27,20.01,8232,3,3
2016-Apr-01 00:00:00,Honda,50666,9546,7,4252,5,3
2016-Apr-01 00:00:00,Infineum,177721,42205,6,2485,5,5
2016-Apr-01 00:00:00,John Deere - EMEA,114296.93,12629.13,22.24,7720,24,22
2016-Apr-01 00:00:00,John Deere - NA,230567.11,53819.37,49,13724,0,0
2016-Apr-01 00:00:00,Joy,164127,39836,4.5,3054,6,6
2016-Apr-01 00:00:00,Kraft/Heinz - EMEA,145524.76,23875.02,33.59,18948,5,5
2016-Apr-01 00:00:00,Kraft/Heinz - NA,549734,117906,49.98,21280,8,8
2016-Apr-01 00:00:00,Linde - EMEA,108433.86,-673.51,30.34,23053,10,10
2016-Apr-01 00:00:00,Louis Vuitton,180577,16488,10,4000,7,4
2016-Apr-01 00:00:00,MasterCard,29055,10914,7,326,10,10
2016-Apr-01 00:00:00,Merck-Serono,44057.66,17923.73,5.44,947,2,2
2016-Apr-01 00:00:00,Novelis - EMEA,55632,5091.51,5.3,1181,10,6
2016-Apr-01 00:00:00,Novelis - NA,80306.73,17565.24,13,4744,0,0
2016-Apr-01 00:00:00,Orbitz,24080.64,-397.04,8.65,3624,3,3
2016-Apr-01 00:00:00,OSRAM,84396.67,10650.51,22.59273496,11755,4,4
2016-Apr-01 00:00:00,PMI - EMEA,595347.39,-32673.38,33.71,24034,7,3
2016-Apr-01 00:00:00,Route One,97972,12758,17,7798,4,4
2016-Apr-01 00:00:00,SAPA - EMEA,98633.09,3164.56,20.35,3058,8,8
2016-Apr-01 00:00:00,Swagelok,132151,28628,9,2688,4,4
2016-Apr-01 00:00:00,TRW - EMEA,192053.84,5291.38,20.05,13998,14,14
2016-Apr-01 00:00:00,TSI,34039,14398,7,2069,8,8
2016-Apr-01 00:00:00,Vallourec,27248,-1021,2,916,4,4
2016-Apr-01 00:00:00,Visteon,105199,27729,10,9492,3,3
2016-May-01 00:00:00,Acosta,160881,34921,41,14056,12,12
2016-May-01 00:00:00,Alcoa - EMEA,84238.77,-7507.81,20.94,13071,10,10
2016-May-01 00:00:00,Alcoa - NA,348829.62,37320.46,50.47,27473,0,0
2016-May-01 00:00:00,Alvarez and Marsal,86666,17703,6,2520,5,5
2016-May-01 00:00:00,BCG - EMEA,76319.79,-1731.84,17.05,6791,3,3
2016-May-01 00:00:00,BCG - NA,623738,120265,42,19964,5,5
2016-May-01 00:00:00,Bio-Rad - EMEA,181354.29,33728.17,22.12,13043,3,3
2016-May-01 00:00:00,Brown-Forman,75079,9135,8,2359,10,10
2016-May-01 00:00:00,CEC,112667,33728,23,15252,4,4
2016-May-01 00:00:00,Clariant - EMEA,205857.95,25473.18,18.38,7818,3,3
2016-May-01 00:00:00,CLS,90023.15,21142.14,5.08,2052,4,4
2016-May-01 00:00:00,CNH,264323,38444,7,3995,12,12
2016-May-01 00:00:00,Coca Cola,303179.04,-85701.29,52.52,16473,5,4
2016-May-01 00:00:00,Covance - EMEA,91202.38,27509.47,8.82,2866,4,4
2016-May-01 00:00:00,Covance - NA,316256.05,93195.62,32,13179,0,0
2016-May-01 00:00:00,Duke,36290,7992,1,199,0,0
2016-May-01 00:00:00,E&Y - NA,706190.48,32632.02,213,53833,0,0
2016-May-01 00:00:00,Embraer,88303,5139,8,2152,7,7
2016-May-01 00:00:00,Epsilon,487962,44531,29,9099,5,4
2016-May-01 00:00:00,Essilor - NA,52645,9584,6,1958,4,4
2016-May-01 00:00:00,Ferro,73972,10319,4,784,7,7
2016-May-01 00:00:00,Firmenich,295961.01,14273.2,17.74,7767,3,3
2016-May-01 00:00:00,Honda,51897,9137,8,4138,5,3
2016-May-01 00:00:00,Infineum,166735,24801,7,2546,6,6
2016-May-01 00:00:00,John Deere - EMEA,109664.45,22294.76,16.12,7039,13,13
2016-May-01 00:00:00,John Deere - NA,198143.86,3283.03,42,13707,0,0
2016-May-01 00:00:00,Joy,119935,6632,5,509,6,6
2016-May-01 00:00:00,Kraft/Heinz - EMEA,149556.18,101810.12,29.9,17797,5,5
2016-May-01 00:00:00,Kraft/Heinz - NA,494027,149649,46.52,21780,8,8
2016-May-01 00:00:00,Linde - EMEA,120933.82,14470.16,30.26,22352,8,8
2016-May-01 00:00:00,Louis Vuitton,190255,22074,11,3998,7,6
2016-May-01 00:00:00,MasterCard,28937,11028,7,264,10,10
2016-May-01 00:00:00,Merck-Serono,43588.9,17181.9,4.74,1133,6,6
2016-May-01 00:00:00,Novelis - EMEA,55632,4505.9,5.68,1214,10,5
2016-May-01 00:00:00,Novelis - NA,80266.77,19264.7,13,5162,0,0
2016-May-01 00:00:00,Orbitz,23793.45,1573.68,7.62,2550,3,3
2016-May-01 00:00:00,OSRAM,84114.64,16123.43,20,9666,4,4
2016-May-01 00:00:00,PMI - EMEA,578244.77,17720.63,36.1,24207,7,4
2016-May-01 00:00:00,Route One,93080,4583,14,7149,4,4
2016-May-01 00:00:00,SAPA - EMEA,90177.63,-10194.04,19.94,3203,8,8
2016-May-01 00:00:00,Swagelok,132196,27425,9,2461,4,4
2016-May-01 00:00:00,TRW - EMEA,189587.76,-1045.38,16.16,13440,14,13
2016-May-01 00:00:00,TSI,34030,13298,7.5,2129,8,8
2016-May-01 00:00:00,Vallourec,29960,-6061,3,865,4,4
2016-May-01 00:00:00,Visteon,150397,77736,11,11462,3,3
2016-Jun-01 00:00:00,Acosta,145825,28433,37,13557,11,11
2016-Jun-01 00:00:00,Alcoa - EMEA,83918.37,-12317.2,20.59,12592,9,9
2016-Jun-01 00:00:00,Alcoa - NA,425067.49,82965.04,47.9,26846,0,0
2016-Jun-01 00:00:00,Alvarez and Marsal,92572,32660,8,3136,6,6
2016-Jun-01 00:00:00,BCG - EMEA,82765.61,6000.73,17.83,7336,2,2
2016-Jun-01 00:00:00,BCG - NA,641457,153877,43.55,20650,5,5
2016-Jun-01 00:00:00,Bio-Rad - EMEA,207577.72,39906.33,23.3,13006,3,3
2016-Jun-01 00:00:00,Brown-Forman,78618,15144,8,2376,10,10
2016-Jun-01 00:00:00,CEC,112669,31860,33,15236,4,4
2016-Jun-01 00:00:00,Clariant - EMEA,205827.28,9605.8,17.44,9045,3,3
2016-Jun-01 00:00:00,CLS,88206.45,16895.15,6,2265,4,4
2016-Jun-01 00:00:00,CNH,233279,17175,7,3733,12,12
2016-Jun-01 00:00:00,Coca Cola,455598.03,43659.29,51.12,20492,5,4
2016-Jun-01 00:00:00,Covance - EMEA,89923.2,11819.82,8.05,2829,4,4
2016-Jun-01 00:00:00,Covance - NA,315015.64,97473.81,32,16580,0,0
2016-Jun-01 00:00:00,Duke,33757,6304,1,259,0,0
2016-Jun-01 00:00:00,E&Y - NA,746824.94,72298.57,159,55490,0,0
2016-Jun-01 00:00:00,Embraer,90022,3443,7,2242,7,5
2016-Jun-01 00:00:00,Epsilon,541851,70254,29,12196,5,4
2016-Jun-01 00:00:00,Essilor - NA,52626,11496,7,1775,4,4
2016-Jun-01 00:00:00,Ferro,70510,12575,3,720,7,7
2016-Jun-01 00:00:00,Firmenich,340883.74,58704.53,17.58,9064,3,3
2016-Jun-01 00:00:00,Honda,51884,11392,7,4244,5,4
2016-Jun-01 00:00:00,Infineum,170745,33216,12,2546,6,6
2016-Jun-01 00:00:00,John Deere - EMEA,109125.68,29583.54,12.04,6110,12,9
2016-Jun-01 00:00:00,John Deere - NA,199131.48,9509.37,54,12968,0,0
2016-Jun-01 00:00:00,Kraft/Heinz - EMEA,174462.63,137629.88,27.51,17977,6,4
2016-Jun-01 00:00:00,Linde - EMEA,114363.52,10831.8,28.3,21913,8,6
2016-Jun-01 00:00:00,Louis Vuitton,204775,24595,10,4000,7,6
2016-Jun-01 00:00:00,MasterCard,28998,11686,6,404,10,10
2016-Jun-01 00:00:00,Merck-Serono,43414.99,16528.77,5.28,1321,6,6
2016-Jun-01 00:00:00,Novelis - EMEA,55632,5779.45,5.77,1311,10,8
2016-Jun-01 00:00:00,Novelis - NA,79752.87,18540.91,12,4107,0,0
2016-Jun-01 00:00:00,Orbitz,23839.11,3582.57,6.12,2711,2,2
2016-Jun-01 00:00:00,OSRAM,87687.74,16441.02,20.65,12755,4,4
2016-Jun-01 00:00:00,PMI - EMEA,581776.47,-60019.41,36.31,26784,7,4
2016-Jun-01 00:00:00,Route One,94810,8967,14,7543,4,4
2016-Jun-01 00:00:00,SAPA - EMEA,86271.37,39426.94,19.46,3963,8,8
2016-Jun-01 00:00:00,Sulzer,131658.14,50696.5,14.51,4101,4,4
2016-Jun-01 00:00:00,Swagelok,140828,28336,8,2661,4,4
2016-Jun-01 00:00:00,TRW - EMEA,183983.95,768.71,17.78,13734,14,14
2016-Jun-01 00:00:00,TSI,34032,13216,7.5,2137,8,8
2016-Jun-01 00:00:00,Vallourec,27248,-3858,2,812,4,4
2016-Jun-01 00:00:00,Visteon,112157,44397,11,11006,3,3
2016-Jul-01 00:00:00,Acosta,144151,25248,34,14018,9,3
2016-Jul-01 00:00:00,Alcoa - EMEA,91116.43,10266.52,21.11,11460,9,9
2016-Jul-01 00:00:00,Alcoa - NA,399621.24,37922.8,45,24552,0,0
2016-Jul-01 00:00:00,Alvarez and Marsal,117370,36738,11,2812,5,5
2016-Jul-01 00:00:00,BCG - EMEA,78084.79,52834.68,16.41,6965,0,0
2016-Jul-01 00:00:00,BCG - NA,634697,154652,36.98,19160,5,5
2016-Jul-01 00:00:00,Bio-Rad - EMEA,217376.07,43577.99,22.56,14144,3,3
2016-Jul-01 00:00:00,Brown-Forman,76544,10736,7,2003,10,10
2016-Jul-01 00:00:00,CEC,112682,35778,32,15126,4,4
2016-Jul-01 00:00:00,Clariant - EMEA,128808.66,-30178.9,18.55,8165,3,3
2016-Jul-01 00:00:00,CLS,81644.03,19612.86,5.88,1926,4,4
2016-Jul-01 00:00:00,CNH,249309,34876,6,3716,12,12
2016-Jul-01 00:00:00,Coca Cola,292837.47,-61819.73,49.37,16300,5,4
