month,client,revenue,ebit,fte,ticket,sla_scope,sla_attain
2017-Apr-01 00:00:00,Alcoa - EMEA,0,9330.88,22.67,9703,11,11
2017-Apr-01 00:00:00,BCG - EMEA,0,5927.5,15.59,7519,1,1
2017-Apr-01 00:00:00,Bio-Rad - EMEA,209322.94,51406.17,27.11,15993,3,3
2017-Apr-01 00:00:00,Clariant - EMEA,126222.06,33201.77,21.77,7769,3,3
2017-Apr-01 00:00:00,CLS,28768.47,534.2,5.96,2492,5,5
2017-Apr-01 00:00:00,Coca Cola,185524.74,-30058.87,47.06,14627,5,4
2017-Apr-01 00:00:00,Covance - EMEA,0,1833.23,8.2,2507,4,4
2017-Apr-01 00:00:00,Firmenich,101588.75,12710.15,19.32,6557,3,2
2017-Apr-01 00:00:00,Kraft/Heinz - EMEA,87667.32,39262.52,38.76,15578,7,7
2017-Apr-01 00:00:00,Ledvance,35087.67,-3140.25,5.6,2761,4,4
2017-Apr-01 00:00:00,Linde - EMEA,129962.36,9751.09,27.05,16001,8,8
2017-Apr-01 00:00:00,Merck-Serono,30300.96,8163.38,3.97,427,6,6
2017-Apr-01 00:00:00,Novelis - EMEA,0,763.7,5.43,1282,10,8
2017-Apr-01 00:00:00,Orbitz,18546.89,-1739.75,6.54,1319,3,3
2017-Apr-01 00:00:00,OSRAM,65026.18,5297.48,18.06,7289,3,2
2017-Apr-01 00:00:00,PMI - EMEA,323893.37,-94883.1,38.34,33849,6,6
2017-Apr-01 00:00:00,SAPA - EMEA,87816.52,14144.93,15.39,3900,8,8
2017-Apr-01 00:00:00,Sulzer,99230.6,31496.3,13.63,4624,6,5
2017-Apr-01 00:00:00,TRW - EMEA,96795.02,-8671.63,23.58,15021,14,14
2017-Apr-01 00:00:00,Acosta,137242.95,40903.72,30,15547,0,0
2017-Apr-01 00:00:00,Alcoa - NA,288808.55,16475.825,31,10114,0,0
2017-Apr-01 00:00:00,Alvarez and Marsal,77575.26,19993.79,12,3120,0,0
2017-Apr-01 00:00:00,Amcor,72664.81,9562.69,18,3389,0,0
2017-Apr-01 00:00:00,BCG - NA,255120.63,-12286.97,33,15525,0,0
2017-Apr-01 00:00:00,Brown-Forman,69388.38,16251.63,9,2956,0,0
2017-Apr-01 00:00:00,CEC,103460.7,32864.78,24,14610,0,0
2017-Apr-01 00:00:00,CNH,287535.26,35387.04,7.48,2802,0,0
2017-Apr-01 00:00:00,Covance - NA,306329.94,87795.08,35,11140,0,0
2017-Apr-01 00:00:00,Duke,12679,4547.3,1.5,237,0,0
2017-Apr-01 00:00:00,Embraer,144071.53,19013.09,8,1949,0,0
2017-Apr-01 00:00:00,Epsilon,420282.21,24289.67,22,8665,0,0
2017-Apr-01 00:00:00,Evoqua,32748.56,3279.91,9,2628,0,0
2017-Apr-01 00:00:00,Ferro,55690.11,16248.36,2,591,0,0
2017-Apr-01 00:00:00,Hanon,67111.2,21274.24,8,1588,0,0
2017-Apr-01 00:00:00,Honda,51812.33,17371.15,8,2918,0,0
2017-Apr-01 00:00:00,Huron,25582.73,6066.25,5,3418,0,0
2017-Apr-01 00:00:00,Infineum,132835.19,34919.67,9,1901,0,0
2017-Apr-01 00:00:00,Kraft/Heinz - NA,191597.18,28905.54,6,1240,0,0
2017-Apr-01 00:00:00,Louis Vuitton,222632.64,49208.57,9,4500,0,0
2017-Apr-01 00:00:00,MasterCard,28946.26,12174.2,5.5,161,0,0
2017-Apr-01 00:00:00,NBA,34561.51,5834.09,6,2146,0,0
2017-Apr-01 00:00:00,Novelis - NA,76633.63,18507.83,12,6323,0,0
2017-Apr-01 00:00:00,Route One,94994.72,19649.61,14,6335,0,0
2017-Apr-01 00:00:00,Swagelok,126987,27472.86,8,2155,0,0
2017-Apr-01 00:00:00,TSI,30370.99,11690.32,5.5,1909,0,0
2017-Apr-01 00:00:00,Vallourec,26384,-54.74,1.5,1096,0,0
2017-Apr-01 00:00:00,Visteon,64035.13,19490.13,7,4886,0,0
